Resource,Dataset,Description,Category,Attribute,Views,Archived
Human Protein Atlas (HPA),Tissue Gene Expression Profiles,RNA-seq gene expression profiles for tissues from HPA,transcriptomics,tissue,15269,FALSE
Human Protein Atlas (HPA),Tissue Protein Expression Profiles,Semiquantitative protein expression profiles for tissues,proteomics,tissue,7142,FALSE
Human Protein Atlas (HPA),Tissue Sample Gene Expression Profiles,RNA-seq gene expression profiles for tissue samples from HPA,transcriptomics,tissue sample,6667,FALSE
Human Proteome Map (HPM),Cell Type and Tissue Protein Expression Profiles,Protein expression profiles for tissues and cell types,proteomics,cell type or tissue,5399,FALSE
Human Phenotype Ontology (HPO),Gene-Disease Associations,Phenotype-causing gene mutations of human phenotypes from disease knowledgebases,disease or phenotype associations,phenotype,41843,FALSE
Hub Proteins,Protein-Protein Interactions,Sets of proteins interacting with hub proteins aggregated from data,physical interactions,hub protein,14664,FALSE
HuGE Navigator,Gene-Phenotype Associations,Gene-phenotype associations extracted from published GWAS by automated text-mining,disease or phenotype associations,phenotype,14962,FALSE
HumanCyc,Pathways,Sets of proteins participating in pathways from HumanCyc,structural or functional annotations,pathway,6521,FALSE
InterPro,Predicted Protein Domain Annotations,Protein domains predicted for gene products based on sequence similarity to known domain signatures,structural or functional annotations,protein domain,23220,FALSE
Kinase Enrichment Analysis (KEA),Substrates of Kinases,Protein substrates of kinases from published low-throughput and high-throughput phosphoproteomics studies,physical interactions,kinase,11864,FALSE
LINCS Kinativ,Kinase Inhibitor Bioactivity Profiles,Percent inhibition of kinases by small molecules measured in cell lysates,physical interactions,chemical bioactivity profile,3853,FALSE
LINCS KinomeScan,Kinase Inhibitor Targets,Kinase inhibitor targets from percent inhibition of kinases by small molecules measured using purified kinases,physical interactions,small molecule,6705,FALSE
Klijn et al. Nat. Biotechnol. 2015,Cell Line Gene CNV Profiles,Gene-level copy number variation profiles for cancer cell lines,genomics,cell line,10068,FALSE
Klijn et al. Nat. Biotechnol. 2015,Cell Line Gene Expression Profiles,RNA-seq gene expression profiles for cancer cell lines,transcriptomics,cell line,15315,FALSE
Klijn et al. Nat. Biotechnol. 2015,Cell Line Gene Mutation Profiles,SNP gene mutations in cancer cell lines identified by microarray,genomics,cell line,9699,FALSE
LOCATE,Curated Protein Localization Annotations,Subcellular localization of proteins from low-throughput or high-throughput protein localization assays,proteomics,cellular component,9006,FALSE
MiRTarBase,microRNA Targets,Target genes of microRNAs from published experiments,physical interactions,microRNA,24342,FALSE
MotifMap,Predicted Transcription Factor Targets,Target genes of transcription factors predicted using known transcription factor binding site motifs,genomics,transcription factor,30714,FALSE
Molecular Signatures Database (MSigDB),Cancer Gene Co-expression Modules,Computational signatures of genes co-expressed with cancer related genes,transcriptomics,co-expressed gene,9717,FALSE
Molecular Signatures Database (MSigDB),Signatures of Differentially Expressed Genes for Cancer Gene Perturbations,Oncogenic signatures of genes differentially expressed following cancer gene perturbations,transcriptomics,gene perturbation,8749,FALSE
Nuclear Receptor Signaling Atlas (NURSA),Protein Complexes,Proteins identified in complexes isolated from cultured cells,proteomics,protein complex,13205,FALSE
Nuclear Receptor Signaling Atlas (NURSA),Protein-Protein Interactions,Protein-protein interactions inferred from membership in complexes,proteomics,interacting protein,10222,FALSE
Online Mendelian Inheritance in Man (OMIM),Gene-Disease Associations,Disease- or phenotype-causing gene mutations for heritable human diseases or phenotypes curated from biomedical publications,disease or phenotype associations,phenotype,29083,FALSE
PANTHER,Pathways,Sets of proteins participating in pathways from PANTHER,structural or functional annotations,pathway,13028,FALSE
Pathway Commons (PC),Protein-Protein Interactions,Protein-protein interactions from low-throughput or high-throughput studies aggregated by Pathway Commons from the following databases: Reactome NCI Pathways PhosphoSite HumanCyc HPRD PANTHER DIP BioGRID IntAct BIND Transfac MiRTarBase Drugbank Recon X Comparative Toxicogenomics Database and KEGG,physical interactions,interacting protein,81664,FALSE
Phosphosite Textmining,Biological Term Annotations,Occurrence frequencies for biological terms in abstracts of publications describing phosphosites,structural or functional annotations,biological term,4115,FALSE
PhosphoSitePlus,Substrates of Kinases,Kinase-substrate interactions curated from low-throughput or high-throughput phosphoproteomics studies,physical interactions,kinase,16361,FALSE
Pathway Interaction Database (PID),Pathways,Sets of proteins participating in pathways from PID,structural or functional annotations,pathway,18482,FALSE
Proteomics Database (ProteomicsDB),Cell Type and Tissue Protein Expression Profiles,Protein expression profiles for tissues and cell types reprocessed from many proteomics datasets,proteomics,cell type or tissue,16719,FALSE
Roadmap Epigenomics,Cell and Tissue DNA Methylation Profiles,DNA methylation profiles for primary cell types and tissues,genomics,cell type or tissue,11555,FALSE
Roadmap Epigenomics,Cell and Tissue Gene Expression Profiles,mRNA expression profiles for primary cell types and tissues,transcriptomics,cell type or tissue,7754,FALSE
Roadmap Epigenomics,Histone Modification Site Profiles,Histone modification profiles for primary cells and tissues,genomics,histone modification site profile,8798,FALSE
SILAC Phosphoproteomics,Signatures of Differentially Phosphorylated Proteins for Drugs,Phosphorylation levels of proteins in cell lines following drug treatment,proteomics,drug perturbation,5187,FALSE
